model,scale,elapsed_time,iterations,improvement,num_nodes,num_edges,avg_energy,q_table_sparsity,q_table_non_zero,compression_centers,migration_bridges,compression_frequency,migration_frequency
random,51,5.77105712890625,10000,-59.364783359847415,51.0,0.0,2.1967250237065454,,,,,,
qlearning,51,2.062948226928711,10000,13.52846481542753,51.0,0.0,0.8381931478448407,0.8139177239523261,1452.0,,,,
traditional,51,229.29236912727356,10000,23.089742899401777,,,,,,8.0,3.0,,
emergence,51,14.691827297210693,10000,88.00497124876398,,,,,,466.0,0.0,0.0,0.0
random,71,84.56406784057617,10000,-31.550969174816178,71.0,0.0,1.8323578133819558,,,,,,
qlearning,71,505.5381848812103,10000,7.327317609762317,71.0,0.0,0.9104932910778775,0.8139258083713549,2814.0,,,,
traditional,71,1975.2886214256287,10000,15.534651395552338,,,,,,6.0,1.0,,
emergence,71,11.044255495071411,10000,72.29338902220671,,,,,,332.0,3.0,0.0,0.0
random,91,10.640658140182495,10000,-18.199752924924418,91.0,0.0,1.650851766377915,,,,,,
qlearning,91,3.2096166610717773,10000,4.0026902551713945,91.0,0.0,0.9521168282542695,0.8065451032483999,4806.0,,,,
traditional,91,85.62763619422913,10000,12.155991927388369,,,,,,4.0,4.0,,
emergence,91,40.18942070007324,10000,61.445510157160186,,,,,,301.0,3.0,0.0,0.0
random,111,39.686803102493286,10000,-12.854385219577932,111.0,0.0,1.5785157968019388,,,,,,
qlearning,111,4.300550699234009,10000,2.8933908053880373,111.0,0.0,0.9678553542789179,0.8013148283418554,7344.0,,,,
traditional,111,132.22274780273438,10000,7.5621566136868505,,,,,,5.0,5.0,,
emergence,111,21.41718816757202,10000,47.91721216104601,,,,,,43.0,1.0,0.0,0.0
