detection_iteration,center,related_nodes,cluster_size,energy_synergy,cohesion,emergence_strength
500,元认知,感知心理学|具身认知,2,0.8029179653378711,1.0,0.7951611038870756
800,动量,量子场论|统计力学,2,0.8417815497528227,1.0,0.7725344649258468
800,万有引力,电磁学|摩擦力,2,0.9671707132091458,1.0,0.8068178806294105
800,摩擦力,万有引力|相对论,2,0.9755840528885127,1.0,0.8093418825332205
800,相对论,量子力学|摩擦力,2,0.9724318302948189,1.0,0.7917295490884457
800,算法,计算机视觉|自然语言处理,2,0.9704284012990998,1.0,0.8077951870563965
800,操作系统,计算机网络|分布式系统,2,0.9150839063657037,1.0,0.8030966004811396
900,量子力学,相对论|统计力学,2,0.9692097340383623,1.0,0.8240962535448421
900,操作系统,计算机网络|数据结构,2,0.9368343436765902,1.0,0.781050303102977
900,生成对抗网络,注意力机制|专家系统,2,0.9618445562034843,1.0,0.7885533668610452
1000,能量守恒,运动学|量子场论,2,0.9965996792742031,1.0,0.8132656180679751
1000,动量,量子场论|静电力,2,0.9637602657256579,1.0,0.8091280797176974
1000,摩擦力,相对论|万有引力|力学,3,0.8825065404454526,1.0,0.7925297399114136
1000,静电力,动量|量子场论,2,0.9282185280846451,1.0,0.7784655584253934
1100,牛顿定律,热力学|运动学,2,0.9308492190386082,1.0,0.7792547657115825
1100,能量守恒,运动学|相对论|万有引力,3,0.9797161973133621,1.0,0.7939148591940086
1100,摩擦力,力学|热力学|相对论,3,0.8471773300585441,1.0,0.7841531990175632
1100,算法,计算机视觉|云计算,2,0.9553618507238999,1.0,0.8282752218838366
1100,操作系统,计算机网络|数据结构|软件工程|分布式系统,4,0.9074460499781467,1.0,0.7865195292791582
1200,牛顿定律,相对论|运动学,2,0.9856292195871563,1.0,0.7956887658761469
1200,能量守恒,运动学|万有引力|动量,3,0.9910661783228933,1.0,0.8106531868302013
1200,万有引力,电磁学|能量守恒|摩擦力,3,0.9795064295953944,1.0,0.8049630399897294
1200,摩擦力,热力学|力学|量子场论|相对论,4,0.8611131083046535,1.0,0.780833932491396
1200,静电力,热力学|动量,2,0.9503152710213727,1.0,0.8050945813064119
1200,相对论,量子力学|牛顿定律|摩擦力,3,0.935628204754295,1.0,0.7806884614262886
1200,量子力学,相对论|能量守恒,2,0.8913156036080296,1.0,0.7816803953681231
1200,算法,云计算|自然语言处理,2,0.9848299480121165,1.0,0.820448984403635
1200,机器人学,模式识别|注意力机制,2,0.9712944783576509,1.0,0.8038883435072952
1200,智能体,数据挖掘|深度学习,2,0.9577258177531061,1.0,0.7873177453259317
1300,牛顿定律,相对论|静电力|运动学,3,0.9780046366569866,1.0,0.7934013909970958
1300,能量守恒,运动学|万有引力|量子力学|动量,4,0.9775275300310091,1.0,0.8104011161521598
1300,万有引力,电磁学|能量守恒,2,0.9387795123134208,1.0,0.7816338536940262
1300,静电力,动量|热力学|量子场论,3,0.9601209246163198,1.0,0.8013696107182292
1300,相对论,量子力学|牛顿定律|摩擦力|静电力|宇宙学|能量守恒,6,0.9236862416543459,1.0,0.7771058724963038
1300,量子力学,相对论|能量守恒|统计力学,3,0.9972122350201562,1.0,0.8309097022520785
1300,算法,云计算|自然语言处理|计算机视觉,3,0.9400711534304591,1.0,0.8097991238069154
1300,强化学习,计算机听觉|迁移学习,2,0.8970190642033444,1.0,0.8024390525943367
1300,元认知,语言习得|发展心理学|心理理论,3,0.8832747083776731,1.0,0.7649824125133018
1400,牛顿定律,相对论|热力学|静电力|量子力学|统计力学,5,0.9928297497443956,1.0,0.7978489249233187
1400,万有引力,电磁学|能量守恒|摩擦力|运动学,4,0.9347324615241879,1.0,0.7887530717905897
1400,摩擦力,力学|热力学|万有引力|量子场论,4,0.8687889362075487,1.0,0.791470014195598
1400,相对论,量子力学|牛顿定律|摩擦力|量子场论|宇宙学|静电力,6,0.9337177223979414,1.0,0.7856708722749379
1400,量子力学,相对论|能量守恒|统计力学|热力学,4,0.9727407134534822,1.0,0.8356317378455685
1400,算法,软件工程|云计算|自然语言处理|计算机视觉,4,0.9660931437706775,1.0,0.8106612764645366
1400,强化学习,数据挖掘|计算机听觉,2,0.9161902381818123,1.0,0.7748570714545437
1400,生成对抗网络,注意力机制|数据挖掘|专家系统,3,0.9191200039347964,1.0,0.7757360011804388
1400,认知负荷,迁移学习|长期记忆,2,0.9023485655567187,1.0,0.7707045696670156
1500,牛顿定律,相对论|热力学|静电力,3,0.9906621189593505,1.0,0.7971986356878051
1500,能量守恒,动量|万有引力|运动学|量子力学|量子场论|力学,6,0.9089655025247255,1.0,0.7888801269478939
1500,摩擦力,力学|热力学|量子场论|万有引力|相对论,5,0.8954842077876954,1.0,0.7933119290029753
1500,相对论,量子力学|牛顿定律|宇宙学|能量守恒|摩擦力|量子场论,6,0.9536479834123326,1.0,0.7916499505792554
1500,生成对抗网络,注意力机制|知识图谱|专家系统,3,0.8797788286788816,1.0,0.7639336486036645
1500,机器人学,模式识别|深度学习,2,0.8814909258266845,1.0,0.7787329920337196
1500,智能体,深度学习|注意力机制|数据挖掘,3,0.8921109087214929,1.0,0.7676332726164479
1500,元认知,语言习得|发展心理学|心理理论|社会认知|感知心理学,5,0.8392831680926414,1.0,0.7734992361420782
1600,万有引力,电磁学|摩擦力|能量守恒|量子力学|运动学,5,0.9241242285474803,1.0,0.7896182209451965
1600,相对论,量子力学|量子场论|牛顿定律|宇宙学|静电力|能量守恒,6,0.9515031561406212,1.0,0.791006502397742
1600,操作系统,计算机网络|数据结构|软件工程|分布式系统|云计算|神经网络,6,0.850215970032761,1.0,0.7645886005336378
