scale,individual,initial_energy,final_energy,energy_improvement,total_compressions,total_migrations,elapsed_time,fit_model,fit_r2,fit_rmse,fit_fluctuation,fit_params
51,0,1.5451622581814513,0.1955943318469232,87.34150211013282,472,0,5.9697654247283936,exp,0.9998678314854265,0.003938589661420352,0.003158990920093957,"[1.3740291421371453, 0.00046537898228233074, 0.180549053298897]"
51,1,1.5451622581814513,0.19572886837274053,87.332795158801,464,0,6.191549301147461,exp,0.9999305132727285,0.0028409148681257873,0.002085818661892151,"[1.3686070554830925, 0.00046881350314464666, 0.18595315394616077]"
51,2,1.5451622581814513,0.17028352822313278,88.9795697945959,478,0,6.852261543273926,exp,0.9999544284634583,0.002352502322840745,0.0019095163294753055,"[1.394617832805609, 0.00045912502329129696, 0.15319854952838777]"
71,0,1.5853823389000379,0.438731962688639,72.32642549853067,332,3,8.931848526000977,exp,0.999962665286678,0.0018522489361939682,0.0013927098283220975,"[1.1826535237968534, 0.00036541523330680005, 0.4067560064300076]"
71,1,1.5853823389000379,0.3769948174057811,76.22057416967658,307,3,9.114376068115234,exp,0.9999593945873583,0.0020407853248791425,0.0017229245635412528,"[1.245573578432027, 0.00033782283627046433, 0.3391183281047256]"
71,2,1.5853823389000379,0.3389138656233589,78.62257845899163,313,3,9.531026363372803,exp,0.9999409572642209,0.002563375219556062,0.002107212739028325,"[1.29692436162248, 0.000325443461804582, 0.2901224619886099]"
91,0,1.6208640620793708,0.6474182148361008,60.057217012662846,313,2,12.8538498878479,exp,0.999977705223685,0.00123931549105603,0.001011551613307051,"[1.0208604445259606, 0.0003113319806402781, 0.5999767020140517]"
91,1,1.6208640620793708,0.5767755667532481,64.415549690619,278,1,12.595583200454712,exp,0.9999594121257696,0.0018192369866488359,0.001474090442652581,"[1.1167442877479004, 0.00027893619102722233, 0.5106178839952253]"
91,2,1.6208640620793708,0.5316208396187786,67.2013926364205,313,3,11.99131727218628,exp,0.999926622586126,0.0025879457430691443,0.002132013817608959,"[1.1962604200194094, 0.000248834938552005, 0.4284330397390887]"
111,0,1.6565735472614174,0.9611434068364499,41.98003412372637,40,0,20.152023315429688,exp,0.9999458130165427,0.0014066454804842067,0.0011461453621701063,"[0.7530093471440059, 0.0002582934482007278, 0.9053899147731516]"
111,1,1.6565735472614174,0.8932099891601644,46.08087334022783,33,0,19.006182432174683,exp,0.9999451872828874,0.0015782692260435367,0.001236255146949134,"[0.8603328959856831, 0.00022230417038386442, 0.7971353218183326]"
111,2,1.6565735472614174,0.8481898996680717,48.79853652919509,33,0,18.23675775527954,exp,0.999968223824923,0.0012740995256896332,0.0010492968739229155,"[0.9304817361143827, 0.00020329035432891282, 0.7247623630137698]"
