model,scale,elapsed_time,iterations,improvement,num_nodes,num_edges,avg_energy,q_table_sparsity,q_table_non_zero,compression_centers,migration_bridges,compression_frequency,migration_frequency
random,51,7.354466199874878,10000,-61.69818530473346,51.0,0.0,2.233013398110137,,,,,,
qlearning,51,8.395692348480225,10000,14.516926015602886,51.0,0.0,0.8362918152676381,0.8139177239523261,1452.0,,,,
traditional,51,56.4348087310791,10000,22.788192918913733,,,,,,11.0,3.0,,
emergence,51,12.172775506973267,10000,86.85484859010764,,,,,,471.0,0.0,0.0,0.0
random,71,7.7330098152160645,10000,-31.550969174816178,71.0,0.0,1.8323578133819558,,,,,,
qlearning,71,4.540101051330566,10000,7.327317609762317,71.0,0.0,0.9104932910778775,0.8139258083713549,2814.0,,,,
traditional,71,81.70060324668884,10000,15.534651395552338,,,,,,6.0,1.0,,
emergence,71,15.144598960876465,10000,72.29338902220671,,,,,,332.0,3.0,0.0,0.0
random,91,11.287725687026978,10000,-18.199752924924418,91.0,0.0,1.650851766377915,,,,,,
qlearning,91,6.501326084136963,10000,4.0026902551713945,91.0,0.0,0.9521168282542695,0.8065451032483999,4806.0,,,,
traditional,91,126.24604272842407,10000,12.155991927388369,,,,,,4.0,4.0,,
emergence,91,22.06633496284485,10000,61.445510157160186,,,,,,301.0,3.0,0.0,0.0
random,111,15.939980506896973,10000,-12.854385219577932,111.0,0.0,1.5785157968019388,,,,,,
qlearning,111,6.3167266845703125,10000,2.8933908053880373,111.0,0.0,0.9678553542789179,0.8013148283418554,7344.0,,,,
traditional,111,269.76582503318787,10000,7.5621566136868505,,,,,,5.0,5.0,,
emergence,111,34.19214129447937,10000,47.91721216104601,,,,,,43.0,1.0,0.0,0.0
